iteration,objective
1,1.315096123927039
2,1.1325622998942386
3,1.130950269058276
4,1.129919745102177
5,1.1298574677131314
6,1.1296868590522302
7,1.1296116664557756
8,1.1296051849262718
9,1.1296051849262718
