sequence,condition,interleaves,noise,seed,region,parameter,requested_voxels,valid_voxels,invalid_voxels,mae,rmse,nrmse,bias
final,cartesian_L1_noise0.001,1,0.001,2026,all,fa,256,256,0,0.0,0.0,0.0,0.0
final,cartesian_L1_noise0.001,1,0.001,2026,all,proton_density,256,256,0,0.000989155080863672,0.0012702943784523935,0.0013353038050772828,-1.260643581042515e-05
final,cartesian_L1_noise0.001,1,0.001,2026,region_0,t1_ms,128,128,0,0.0,0.0,0.0,0.0
final,cartesian_L1_noise0.001,1,0.001,2026,region_0,t2_ms,128,128,0,0.0,0.0,0.0,0.0
final,cartesian_L1_noise0.001,1,0.001,2026,region_0,md_mm2_per_s,128,128,0,0.0,0.0,0.0,0.0
final,cartesian_L1_noise0.001,1,0.001,2026,region_0,fa,128,128,0,0.0,0.0,0.0,0.0
final,cartesian_L1_noise0.001,1,0.001,2026,region_0,proton_density,128,128,0,0.0009264692767561155,0.001156575784662039,0.001156575784662039,-5.22090299357441e-05
final,cartesian_L1_noise0.001,1,0.001,2026,region_1,t1_ms,128,128,0,0.0,0.0,0.0,0.0
final,cartesian_L1_noise0.001,1,0.001,2026,region_1,t2_ms,128,128,0,0.0,0.0,0.0,0.0
final,cartesian_L1_noise0.001,1,0.001,2026,region_1,md_mm2_per_s,128,128,0,0.0,0.0,0.0,0.0
final,cartesian_L1_noise0.001,1,0.001,2026,region_1,fa,128,128,0,0.0,0.0,0.0,0.0
final,cartesian_L1_noise0.001,1,0.001,2026,region_1,proton_density,128,128,0,0.0010518408849712283,0.001374637432266739,0.0015273749247408208,2.6996158314893798e-05
initial,spiral_L1_noise0.001,1,0.001,2026,all,t1_ms,256,256,0,0.0,0.0,0.0,0.0
initial,spiral_L1_noise0.001,1,0.001,2026,all,t2_ms,256,256,0,8.828125,13.287682265918312,0.164813414315891,0.390625
initial,spiral_L1_noise0.001,1,0.001,2026,all,md_mm2_per_s,256,256,0,4.8046875e-05,0.00012005857945186592,0.139096135457923,-1.5234375000000001e-05
initial,spiral_L1_noise0.001,1,0.001,2026,all,fa,256,256,0,0.044921875,0.14986973510352247,0.2911327098025591,0.029296875
initial,spiral_L1_noise0.001,1,0.001,2026,all,proton_density,256,256,0,0.10547660883627552,0.13079985555723772,0.13749375561428898,0.07154404399564246
initial,spiral_L1_noise0.001,1,0.001,2026,region_0,t1_ms,128,128,0,0.0,0.0,0.0,0.0
initial,spiral_L1_noise0.001,1,0.001,2026,region_0,t2_ms,128,128,0,9.21875,13.57847561400027,0.1939782230571467,9.21875
initial,spiral_L1_noise0.001,1,0.001,2026,region_0,md_mm2_per_s,128,128,0,3.2812500000000005e-05,9.921567416492216e-05,0.1417366773784602,3.2812500000000005e-05
initial,spiral_L1_noise0.001,1,0.001,2026,region_0,fa,128,128,0,0.07421875,0.1926379375927805,0.9631896879639021,0.07421875
initial,spiral_L1_noise0.001,1,0.001,2026,region_0,proton_density,128,128,0,0.11263462779948802,0.13513708366853988,0.13513708366853988,0.08929993039861522
initial,spiral_L1_noise0.001,1,0.001,2026,region_1,t1_ms,128,128,0,0.0,0.0,0.0,0.0
initial,spiral_L1_noise0.001,1,0.001,2026,region_1,t2_ms,128,128,0,8.4375,12.99038105676658,0.14433756729740643,-8.4375
initial,spiral_L1_noise0.001,1,0.001,2026,region_1,md_mm2_per_s,128,128,0,6.328125e-05,0.00013778379803155378,0.13778379803155377,-6.328125e-05
initial,spiral_L1_noise0.001,1,0.001,2026,region_1,fa,128,128,0,0.015625,0.08838834764831845,0.12626906806902635,-0.015625
initial,spiral_L1_noise0.001,1,0.001,2026,region_1,proton_density,128,128,0,0.09831858987306302,0.1263137880247068,0.1403486533607853,0.053788157592669666
flip_only,spiral_L1_noise0.001,1,0.001,2026,all,t1_ms,256,256,0,0.0,0.0,0.0,0.0
flip_only,spiral_L1_noise0.001,1,0.001,2026,all,t2_ms,256,256,0,9.84375,14.031215200402281,0.17403580533459645,2.5
flip_only,spiral_L1_noise0.001,1,0.001,2026,all,md_mm2_per_s,256,256,0,8.3203125e-05,0.00015799030824705673,0.18304265648738746,-1.5234375000000003e-05
flip_only,spiral_L1_noise0.001,1,0.001,2026,all,fa,256,256,0,0.138671875,0.2633171804117612,0.5115125092994415,0.044921875
flip_only,spiral_L1_noise0.001,1,0.001,2026,all,proton_density,256,256,0,0.15190624092265742,0.1881665613201929,0.19779629791424588,0.09268685821851089
flip_only,spiral_L1_noise0.001,1,0.001,2026,region_0,t1_ms,128,128,0,0.0,0.0,0.0,0.0
flip_only,spiral_L1_noise0.001,1,0.001,2026,region_0,t2_ms,128,128,0,12.34375,15.712256362470669,0.2244608051781524,12.34375
flip_only,spiral_L1_noise0.001,1,0.001,2026,region_0,md_mm2_per_s,128,128,0,6.796875e-05,0.0001427957457349483,0.20399392247849754,6.796875e-05
flip_only,spiral_L1_noise0.001,1,0.001,2026,region_0,fa,128,128,0,0.18359375,0.3029799910885206,1.5148999554426024,0.18359375
flip_only,spiral_L1_noise0.001,1,0.001,2026,region_0,proton_density,128,128,0,0.1383906309434139,0.17328557026247043,0.17328557026247043,0.09677622755540317
flip_only,spiral_L1_noise0.001,1,0.001,2026,region_1,t1_ms,128,128,0,0.0,0.0,0.0,0.0
flip_only,spiral_L1_noise0.001,1,0.001,2026,region_1,t2_ms,128,128,0,7.34375,12.119199643540822,0.13465777381712024,-7.34375
flip_only,spiral_L1_noise0.001,1,0.001,2026,region_1,md_mm2_per_s,128,128,0,9.84375e-05,0.00017184658856084402,0.171846588560844,-9.84375e-05
flip_only,spiral_L1_noise0.001,1,0.001,2026,region_1,fa,128,128,0,0.09375,0.21650635094610965,0.3092947870658709,-0.09375
flip_only,spiral_L1_noise0.001,1,0.001,2026,region_1,proton_density,128,128,0,0.16542185090190098,0.2019540064889584,0.22439334054328705,0.08859748888161861
final,spiral_L1_noise0.001,1,0.001,2026,all,t1_ms,256,256,0,0.0,0.0,0.0,0.0
final,spiral_L1_noise0.001,1,0.001,2026,all,t2_ms,256,256,0,10.15625,14.252192813739224,0.1767766952966369,1.40625
final,spiral_L1_noise0.001,1,0.001,2026,all,md_mm2_per_s,256,256,0,7.500000000000001e-05,0.00015000000000000001,0.17378533390904768,-7.0312500000000015e-06
final,spiral_L1_noise0.001,1,0.001,2026,all,fa,256,256,0,0.130859375,0.2557922741210141,0.49689483910790966,0.025390625
final,spiral_L1_noise0.001,1,0.001,2026,all,proton_density,256,256,0,0.1450022272920498,0.18230663617533546,0.1916364813582369,0.09408297757496724
final,spiral_L1_noise0.001,1,0.001,2026,region_0,t1_ms,128,128,0,0.0,0.0,0.0,0.0
final,spiral_L1_noise0.001,1,0.001,2026,region_0,t2_ms,128,128,0,11.5625,15.20690632574555,0.21724151893922214,11.5625
final,spiral_L1_noise0.001,1,0.001,2026,region_0,md_mm2_per_s,128,128,0,6.796875000000001e-05,0.0001427957457349483,0.20399392247849754,6.796875000000001e-05
final,spiral_L1_noise0.001,1,0.001,2026,region_0,fa,128,128,0,0.15625,0.2795084971874737,1.3975424859373682,0.15625
final,spiral_L1_noise0.001,1,0.001,2026,region_0,proton_density,128,128,0,0.1295499054647598,0.1626424712142434,0.1626424712142434,0.09410704810343601
final,spiral_L1_noise0.001,1,0.001,2026,region_1,t1_ms,128,128,0,0.0,0.0,0.0,0.0
final,spiral_L1_noise0.001,1,0.001,2026,region_1,t2_ms,128,128,0,8.75,13.228756555322953,0.1469861839480328,-8.75
final,spiral_L1_noise0.001,1,0.001,2026,region_1,md_mm2_per_s,128,128,0,8.203124999999999e-05,0.00015687375497513918,0.15687375497513917,-8.203124999999999e-05
final,spiral_L1_noise0.001,1,0.001,2026,region_1,fa,128,128,0,0.10546875,0.22963966338592295,0.3280566619798899,-0.10546875
final,spiral_L1_noise0.001,1,0.001,2026,region_1,proton_density,128,128,0,0.16045454911933976,0.20004710881303997,0.22227456534782214,0.0940589070464985
initial,spiral_L4_noise0.001,4,0.001,2026,all,t1_ms,256,256,0,0.0,0.0,0.0,0.0
initial,spiral_L4_noise0.001,4,0.001,2026,all,t2_ms,256,256,0,1.484375,5.448623679425842,0.06758185919540607,-0.703125
initial,spiral_L4_noise0.001,4,0.001,2026,all,md_mm2_per_s,256,256,0,2.3437500000000002e-06,2.6516504294495534e-05,0.03072119701946402,-2.3437500000000002e-06
initial,spiral_L4_noise0.001,4,0.001,2026,all,fa,256,256,0,0.0,0.0,0.0,0.0
initial,spiral_L4_noise0.001,4,0.001,2026,all,proton_density,256,256,0,0.05921076582233477,0.06918611554370613,0.0727268300254779,0.057758617870417917
initial,spiral_L4_noise0.001,4,0.001,2026,region_0,t1_ms,128,128,0,0.0,0.0,0.0,0.0
initial,spiral_L4_noise0.001,4,0.001,2026,region_0,t2_ms,128,128,0,0.78125,3.952847075210474,0.0564692439315782,0.78125
initial,spiral_L4_noise0.001,4,0.001,2026,region_0,md_mm2_per_s,128,128,0,0.0,0.0,0.0,0.0
initial,spiral_L4_noise0.001,4,0.001,2026,region_0,fa,128,128,0,0.0,0.0,0.0,0.0
initial,spiral_L4_noise0.001,4,0.001,2026,region_0,proton_density,128,128,0,0.06379732240434541,0.0739081753030797,0.0739081753030797,0.06199968919639434
initial,spiral_L4_noise0.001,4,0.001,2026,region_1,t1_ms,128,128,0,0.0,0.0,0.0,0.0
initial,spiral_L4_noise0.001,4,0.001,2026,region_1,t2_ms,128,128,0,2.1875,6.614378277661476,0.0734930919740164,-2.1875
initial,spiral_L4_noise0.001,4,0.001,2026,region_1,md_mm2_per_s,128,128,0,4.6875000000000004e-06,3.7500000000000003e-05,0.037500000000000006,-4.6875000000000004e-06
initial,spiral_L4_noise0.001,4,0.001,2026,region_1,fa,128,128,0,0.0,0.0,0.0,0.0
initial,spiral_L4_noise0.001,4,0.001,2026,region_1,proton_density,128,128,0,0.054624209240324115,0.06411722694739182,0.07124136327487977,0.05351754654444149
flip_only,spiral_L4_noise0.001,4,0.001,2026,all,t1_ms,256,256,0,0.0,0.0,0.0,0.0
flip_only,spiral_L4_noise0.001,4,0.001,2026,all,t2_ms,256,256,0,6.875,11.726039399558575,0.14544361847068493,-1.40625
flip_only,spiral_L4_noise0.001,4,0.001,2026,all,md_mm2_per_s,256,256,0,5.15625e-05,0.00012437342963832752,0.14409518666073462,-2.8125e-05
flip_only,spiral_L4_noise0.001,4,0.001,2026,all,fa,256,256,0,0.00390625,0.04419417382415922,0.08585035246793063,0.00390625
flip_only,spiral_L4_noise0.001,4,0.001,2026,all,proton_density,256,256,0,0.06386142215768538,0.07893164074214809,0.0829710986774499,0.0492619069379156
flip_only,spiral_L4_noise0.001,4,0.001,2026,region_0,t1_ms,128,128,0,0.0,0.0,0.0,0.0
flip_only,spiral_L4_noise0.001,4,0.001,2026,region_0,t2_ms,128,128,0,5.46875,10.458250331675945,0.14940357616679922,5.46875
flip_only,spiral_L4_noise0.001,4,0.001,2026,region_0,md_mm2_per_s,128,128,0,2.34375e-05,8.385254915624212e-05,0.11978935593748873,2.34375e-05
flip_only,spiral_L4_noise0.001,4,0.001,2026,region_0,fa,128,128,0,0.0078125,0.0625,0.3124999999999999,0.0078125
flip_only,spiral_L4_noise0.001,4,0.001,2026,region_0,proton_density,128,128,0,0.06888499339356821,0.084105904004154,0.084105904004154,0.06294213798610299
flip_only,spiral_L4_noise0.001,4,0.001,2026,region_1,t1_ms,128,128,0,0.0,0.0,0.0,0.0
flip_only,spiral_L4_noise0.001,4,0.001,2026,region_1,t2_ms,128,128,0,8.28125,12.869537676233751,0.1429948630692639,-8.28125
flip_only,spiral_L4_noise0.001,4,0.001,2026,region_1,md_mm2_per_s,128,128,0,7.96875e-05,0.00015461646096066227,0.15461646096066226,-7.96875e-05
flip_only,spiral_L4_noise0.001,4,0.001,2026,region_1,fa,128,128,0,0.0,0.0,0.0,0.0
flip_only,spiral_L4_noise0.001,4,0.001,2026,region_1,proton_density,128,128,0,0.05883785092180256,0.07339349243726652,0.08154832493029611,0.035581675889728215
final,spiral_L4_noise0.001,4,0.001,2026,all,t1_ms,256,256,0,0.0,0.0,0.0,0.0
final,spiral_L4_noise0.001,4,0.001,2026,all,t2_ms,256,256,0,5.703125,10.680004681646913,0.13246915460995787,-0.859375
final,spiral_L4_noise0.001,4,0.001,2026,all,md_mm2_per_s,256,256,0,3.8671875e-05,0.00010771054962258804,0.12479009221125674,-1.7578125000000002e-05
final,spiral_L4_noise0.001,4,0.001,2026,all,fa,256,256,0,0.00390625,0.04419417382415922,0.08585035246793063,0.00390625
final,spiral_L4_noise0.001,4,0.001,2026,all,proton_density,256,256,0,0.062460139504937034,0.07732055312709127,0.08127756097533144,0.050591521214816984
final,spiral_L4_noise0.001,4,0.001,2026,region_0,t1_ms,128,128,0,0.0,0.0,0.0,0.0
final,spiral_L4_noise0.001,4,0.001,2026,region_0,t2_ms,128,128,0,4.84375,9.842509842514763,0.1406072834644966,4.84375
final,spiral_L4_noise0.001,4,0.001,2026,region_0,md_mm2_per_s,128,128,0,2.109375e-05,7.95495128834866e-05,0.11364216126212369,2.109375e-05
final,spiral_L4_noise0.001,4,0.001,2026,region_0,fa,128,128,0,0.0078125,0.0625,0.3124999999999999,0.0078125
final,spiral_L4_noise0.001,4,0.001,2026,region_0,proton_density,128,128,0,0.06854582587816709,0.08328788925555818,0.08328788925555818,0.06323868948377454
final,spiral_L4_noise0.001,4,0.001,2026,region_1,t1_ms,128,128,0,0.0,0.0,0.0,0.0
final,spiral_L4_noise0.001,4,0.001,2026,region_1,t2_ms,128,128,0,6.5625,11.4564392373896,0.12729376930432887,-6.5625
final,spiral_L4_noise0.001,4,0.001,2026,region_1,md_mm2_per_s,128,128,0,5.6250000000000005e-05,0.0001299038105676658,0.1299038105676658,-5.6250000000000005e-05
final,spiral_L4_noise0.001,4,0.001,2026,region_1,fa,128,128,0,0.0,0.0,0.0,0.0
final,spiral_L4_noise0.001,4,0.001,2026,region_1,proton_density,128,128,0,0.056374453131707,0.07085240557040079,0.07872489507822308,0.037944352945859426
initial,spiral_L16_noise0.001,16,0.001,2026,all,t1_ms,256,256,0,0.0,0.0,0.0,0.0
initial,spiral_L16_noise0.001,16,0.001,2026,all,t2_ms,256,256,0,1.015625,4.5069390943299865,0.05590169943749475,-0.703125
initial,spiral_L16_noise0.001,16,0.001,2026,all,md_mm2_per_s,256,256,0,0.0,0.0,0.0,0.0
initial,spiral_L16_noise0.001,16,0.001,2026,all,fa,256,256,0,0.0,0.0,0.0,0.0
initial,spiral_L16_noise0.001,16,0.001,2026,all,proton_density,256,256,0,0.058382248819033034,0.06224920402263742,0.06543491052501338,0.058382248819033034
initial,spiral_L16_noise0.001,16,0.001,2026,region_0,t1_ms,128,128,0,0.0,0.0,0.0,0.0
initial,spiral_L16_noise0.001,16,0.001,2026,region_0,t2_ms,128,128,0,0.3125,2.5,0.03571428571428571,0.3125
initial,spiral_L16_noise0.001,16,0.001,2026,region_0,md_mm2_per_s,128,128,0,0.0,0.0,0.0,0.0
initial,spiral_L16_noise0.001,16,0.001,2026,region_0,fa,128,128,0,0.0,0.0,0.0,0.0
initial,spiral_L16_noise0.001,16,0.001,2026,region_0,proton_density,128,128,0,0.06322136501537591,0.06756534205605931,0.06756534205605931,0.06322136501537591
initial,spiral_L16_noise0.001,16,0.001,2026,region_1,t1_ms,128,128,0,0.0,0.0,0.0,0.0
initial,spiral_L16_noise0.001,16,0.001,2026,region_1,t2_ms,128,128,0,1.71875,5.863019699779287,0.06514466333088097,-1.71875
initial,spiral_L16_noise0.001,16,0.001,2026,region_1,md_mm2_per_s,128,128,0,0.0,0.0,0.0,0.0
initial,spiral_L16_noise0.001,16,0.001,2026,region_1,fa,128,128,0,0.0,0.0,0.0,0.0
initial,spiral_L16_noise0.001,16,0.001,2026,region_1,proton_density,128,128,0,0.05354313262269014,0.05643448729058839,0.06270498587843153,0.05354313262269014
flip_only,spiral_L16_noise0.001,16,0.001,2026,all,t1_ms,256,256,0,0.0,0.0,0.0,0.0
flip_only,spiral_L16_noise0.001,16,0.001,2026,all,t2_ms,256,256,0,1.40625,5.303300858899107,0.0657793514480272,0.15625
flip_only,spiral_L16_noise0.001,16,0.001,2026,all,md_mm2_per_s,256,256,0,0.0,0.0,0.0,0.0
flip_only,spiral_L16_noise0.001,16,0.001,2026,all,fa,256,256,0,0.0,0.0,0.0,0.0
flip_only,spiral_L16_noise0.001,16,0.001,2026,all,proton_density,256,256,0,0.05482346075399104,0.0605678020089525,0.06366745996802248,0.05458299208512882
flip_only,spiral_L16_noise0.001,16,0.001,2026,region_0,t1_ms,128,128,0,0.0,0.0,0.0,0.0
flip_only,spiral_L16_noise0.001,16,0.001,2026,region_0,t2_ms,128,128,0,1.5625,5.5901699437494745,0.07985957062499249,1.5625
flip_only,spiral_L16_noise0.001,16,0.001,2026,region_0,md_mm2_per_s,128,128,0,0.0,0.0,0.0,0.0
flip_only,spiral_L16_noise0.001,16,0.001,2026,region_0,fa,128,128,0,0.0,0.0,0.0,0.0
flip_only,spiral_L16_noise0.001,16,0.001,2026,region_0,proton_density,128,128,0,0.06314317064717603,0.06833368505737808,0.06833368505737808,0.06314317064717603
flip_only,spiral_L16_noise0.001,16,0.001,2026,region_1,t1_ms,128,128,0,0.0,0.0,0.0,0.0
flip_only,spiral_L16_noise0.001,16,0.001,2026,region_1,t2_ms,128,128,0,1.25,5.0,0.05555555555555555,-1.25
flip_only,spiral_L16_noise0.001,16,0.001,2026,region_1,md_mm2_per_s,128,128,0,0.0,0.0,0.0,0.0
flip_only,spiral_L16_noise0.001,16,0.001,2026,region_1,fa,128,128,0,0.0,0.0,0.0,0.0
flip_only,spiral_L16_noise0.001,16,0.001,2026,region_1,proton_density,128,128,0,0.046503750860806034,0.0516471177014788,0.05738568633497643,0.04602281352308158
final,spiral_L16_noise0.001,16,0.001,2026,all,t1_ms,256,256,0,0.0,0.0,0.0,0.0
final,spiral_L16_noise0.001,16,0.001,2026,all,t2_ms,256,256,0,1.484375,5.448623679425842,0.06758185919540607,0.078125
final,spiral_L16_noise0.001,16,0.001,2026,all,md_mm2_per_s,256,256,0,0.0,0.0,0.0,0.0
final,spiral_L16_noise0.001,16,0.001,2026,all,fa,256,256,0,0.0,0.0,0.0,0.0
final,spiral_L16_noise0.001,16,0.001,2026,all,proton_density,256,256,0,0.0544522029905159,0.059841939294797204,0.06290445002275599,0.05427101380878038
final,spiral_L16_noise0.001,16,0.001,2026,region_0,t1_ms,128,128,0,0.0,0.0,0.0,0.0
final,spiral_L16_noise0.001,16,0.001,2026,region_0,t2_ms,128,128,0,1.5625,5.5901699437494745,0.07985957062499249,1.5625
final,spiral_L16_noise0.001,16,0.001,2026,region_0,md_mm2_per_s,128,128,0,0.0,0.0,0.0,0.0
final,spiral_L16_noise0.001,16,0.001,2026,region_0,fa,128,128,0,0.0,0.0,0.0,0.0
final,spiral_L16_noise0.001,16,0.001,2026,region_0,proton_density,128,128,0,0.06207333211460566,0.06702568001773404,0.06702568001773404,0.06207333211460566
final,spiral_L16_noise0.001,16,0.001,2026,region_1,t1_ms,128,128,0,0.0,0.0,0.0,0.0
final,spiral_L16_noise0.001,16,0.001,2026,region_1,t2_ms,128,128,0,1.40625,5.303300858899107,0.05892556509887896,-1.40625
final,spiral_L16_noise0.001,16,0.001,2026,region_1,md_mm2_per_s,128,128,0,0.0,0.0,0.0,0.0
final,spiral_L16_noise0.001,16,0.001,2026,region_1,fa,128,128,0,0.0,0.0,0.0,0.0
final,spiral_L16_noise0.001,16,0.001,2026,region_1,proton_density,128,128,0,0.04683107386642613,0.051668884401394964,0.0574098715571055,0.0464686955029551
