sequence,condition,interleaves,noise,seed,region,parameter,requested_voxels,valid_voxels,invalid_voxels,mae,rmse,nrmse,bias
final,cartesian_L1_noise0,1,0.0,2026,region_1,proton_density,128,128,0,7.981444873906597e-06,1.0972914577416847e-05,1.2192127308240938e-05,-1.4689065399820997e-06
initial,spiral_L1_noise0,1,0.0,2026,all,t1_ms,256,256,0,0.0,0.0,0.0,0.0
initial,spiral_L1_noise0,1,0.0,2026,all,t2_ms,256,256,0,9.21875,13.57847561400027,0.1684202618908563,0.3125
initial,spiral_L1_noise0,1,0.0,2026,all,md_mm2_per_s,256,256,0,4.804687500000001e-05,0.00012005857945186592,0.139096135457923,-1.5234375000000001e-05
initial,spiral_L1_noise0,1,0.0,2026,all,fa,256,256,0,0.04296875,0.14657549249448218,0.2847334072558876,0.02734375
initial,spiral_L1_noise0,1,0.0,2026,all,proton_density,256,256,0,0.10581492598810488,0.13114380909770212,0.13785531154899403,0.07187765674397129
initial,spiral_L1_noise0,1,0.0,2026,region_0,t1_ms,128,128,0,0.0,0.0,0.0,0.0
initial,spiral_L1_noise0,1,0.0,2026,region_0,t2_ms,128,128,0,9.53125,13.806701271484076,0.19723858959262966,9.53125
initial,spiral_L1_noise0,1,0.0,2026,region_0,md_mm2_per_s,128,128,0,3.2812500000000005e-05,9.921567416492216e-05,0.1417366773784602,3.2812500000000005e-05
initial,spiral_L1_noise0,1,0.0,2026,region_0,fa,128,128,0,0.0703125,0.1875,0.9374999999999997,0.0703125
initial,spiral_L1_noise0,1,0.0,2026,region_0,proton_density,128,128,0,0.11180456999180921,0.13439088814071395,0.13439088814071395,0.08861359559156785
initial,spiral_L1_noise0,1,0.0,2026,region_1,t1_ms,128,128,0,0.0,0.0,0.0,0.0
initial,spiral_L1_noise0,1,0.0,2026,region_1,t2_ms,128,128,0,8.90625,13.346347815039138,0.14829275350043486,-8.90625
initial,spiral_L1_noise0,1,0.0,2026,region_1,md_mm2_per_s,128,128,0,6.328125e-05,0.00013778379803155378,0.13778379803155377,-6.328125e-05
initial,spiral_L1_noise0,1,0.0,2026,region_1,fa,128,128,0,0.015625,0.08838834764831845,0.12626906806902635,-0.015625
initial,spiral_L1_noise0,1,0.0,2026,region_1,proton_density,128,128,0,0.09982528198440054,0.1278142656907248,0.14201585076747195,0.05514171789637474
flip_only,spiral_L1_noise0,1,0.0,2026,all,t1_ms,256,256,0,0.0,0.0,0.0,0.0
flip_only,spiral_L1_noise0,1,0.0,2026,all,t2_ms,256,256,0,9.765625,13.975424859373685,0.17334381132038412,3.046875
flip_only,spiral_L1_noise0,1,0.0,2026,all,md_mm2_per_s,256,256,0,8.671875e-05,0.00016129359875704925,0.18686974611590507,-1.6406250000000002e-05
flip_only,spiral_L1_noise0,1,0.0,2026,all,fa,256,256,0,0.138671875,0.2633171804117612,0.5115125092994415,0.041015625
flip_only,spiral_L1_noise0,1,0.0,2026,all,proton_density,256,256,0,0.1512657563686351,0.1867566219672025,0.1963142025709051,0.09136587956608382
flip_only,spiral_L1_noise0,1,0.0,2026,region_0,t1_ms,128,128,0,0.0,0.0,0.0,0.0
flip_only,spiral_L1_noise0,1,0.0,2026,region_0,t2_ms,128,128,0,12.8125,16.00781059358212,0.2286830084797446,12.8125
flip_only,spiral_L1_noise0,1,0.0,2026,region_0,md_mm2_per_s,128,128,0,7.031250000000001e-05,0.00014523687548277815,0.20748125068968304,7.031250000000001e-05
flip_only,spiral_L1_noise0,1,0.0,2026,region_0,fa,128,128,0,0.1796875,0.29973947020704494,1.4986973510352242,0.1796875
flip_only,spiral_L1_noise0,1,0.0,2026,region_0,proton_density,128,128,0,0.13944580327137465,0.17409953770624118,0.17409953770624118,0.09692770137590681
flip_only,spiral_L1_noise0,1,0.0,2026,region_1,t1_ms,128,128,0,0.0,0.0,0.0,0.0
