family,fraction,objective,status,runtime_seconds,projection_rmse_rad
sinusoidal,0.01,1.0978922297459692,finite,1.080464500002563,1.0994666547478062
sinusoidal,0.0409375,1.0915398907810037,finite,1.076651299954392,1.1486227193528338
sinusoidal,0.071875,1.0859524327885945,finite,1.0681363999610767,1.1892079271087062
sinusoidal,0.10281249999999999,1.0818716192044648,finite,1.050281900097616,1.2162688641120964
sinusoidal,0.13375,1.0781539158225637,finite,1.0986598999006674,1.2267445526862444
sinusoidal,0.16468750000000001,1.0745337490699358,finite,1.0481634999159724,1.219496865241804
sinusoidal,0.195625,1.069404237190263,finite,1.0616584999952465,1.1953105474713224
sinusoidal,0.2265625,1.0634853079947078,finite,1.0398411999922246,1.1568938010431604
sinusoidal,0.2575,1.059120160114446,finite,1.0783324000658467,1.1088585513837792
sinusoidal,0.2884375,1.0590526113070777,finite,1.0457288000034168,1.0575930653011199
sinusoidal,0.319375,1.0653482116573159,finite,1.0530358999967575,1.0108347877602892
sinusoidal,0.3503125,1.0778456244661518,finite,1.046977600082755,0.9766543702861477
sinusoidal,0.38125,1.093296163995166,finite,1.1390109999338165,0.9616873029832759
sinusoidal,0.4121875,1.1052263364546937,finite,1.4487930999603122,0.9690629601929557
sinusoidal,0.443125,1.1082928294331054,finite,1.639204900013283,0.99722114827674
sinusoidal,0.4740625,1.1054202976879028,finite,1.6352464000228792,1.0405190818194097
sinusoidal,0.505,1.0988929111318397,finite,1.1887889000354335,1.0911482761116245
sinusoidal,0.5359375,1.0926228754494374,finite,1.0622633999446407,1.141103026639704
sinusoidal,0.566875,1.0866750927675513,finite,1.0461807999527082,1.183457466509688
sinusoidal,0.5978125,1.0825335167662327,finite,1.0606683000223711,1.2129618689580284
sinusoidal,0.62875,1.0786987355605822,finite,1.1627896999707446,1.22624556991165
sinusoidal,0.6596875,1.0752013753806389,finite,1.634779900079593,1.2218595420288738
sinusoidal,0.690625,1.0703335148486732,finite,1.6731326000299305,1.2002777532399513
sinusoidal,0.7215625,1.0644080020147817,finite,1.5933590000495315,1.1638977245044693
sinusoidal,0.7525,1.0596046436202897,finite,1.0838463000254706,1.1170278420481954
sinusoidal,0.7834375,1.0586691607419358,finite,1.0421989999013022,1.0657871877953173
sinusoidal,0.814375,1.0638680512541265,finite,1.048561800038442,1.0177449099272502
sinusoidal,0.8453125,1.075506916053725,finite,1.0461457000346854,0.9810187801633451
sinusoidal,0.87625,1.0908207713155673,finite,1.0755134000210091,0.9626202312010281
sinusoidal,0.9071875,1.1038786348369571,finite,1.067822300014086,0.9663650839132908
sinusoidal,0.938125,1.1082801834690064,finite,1.1067411999683827,0.9914590261433571
sinusoidal,0.9690625,1.1062495767245382,finite,1.1542179000098258,1.0328086574092525
sinusoidal,1.0,1.09993162751548,finite,1.0489069999894127,1.0828097914043777
