family,fraction,objective,status,runtime_seconds,projection_rmse_rad
alternating,0.01,1.1295986039548467,finite,1.0720911999233067,0.08677258779429728
alternating,0.0409375,1.1294950888120998,finite,1.0559470999287441,0.3552252812829045
alternating,0.071875,1.1292671171589475,finite,1.0654226000187919,0.6236779747715118
alternating,0.10281249999999999,1.1289175698030065,finite,1.0488595999777317,0.8921306682601188
alternating,0.13375,1.1284508151347918,finite,1.0511614000424743,1.1605833617487262
alternating,0.16468750000000001,1.1278725947824544,finite,1.1246704000514,1.4290360552373336
alternating,0.195625,1.1271898773043811,finite,1.100647300016135,1.6974887487259405
alternating,0.2265625,1.1264106867702548,finite,1.0434593999525532,1.9659414422145478
alternating,0.2575,1.1255439138742533,finite,1.1433673000428826,2.234394135703155
alternating,0.2884375,1.1245991174766985,finite,1.0498112000059336,2.5028468291917623
alternating,0.319375,1.1235863242286606,finite,1.1496917000040412,2.771299522680369
alternating,0.3503125,1.122515833258248,finite,1.36775549990125,3.0397522161689765
alternating,0.38125,1.1213980318926686,finite,1.5261602000100538,3.3082049096575834
alternating,0.4121875,1.1202432271704659,finite,1.645347399986349,3.5766576031461907
alternating,0.443125,1.1190614965836982,finite,1.4619429000886157,3.845110296634798
alternating,0.4740625,1.1178625601829066,finite,1.089981299941428,4.113562990123405
alternating,0.505,1.1166556749584027,finite,1.0762250000843778,4.382015683612013
alternating,0.5359375,1.1154495513595915,finite,1.0648755000438541,4.65046837710062
alternating,0.566875,1.1142522909453358,finite,1.0658968000207096,4.918921070589227
alternating,0.5978125,1.1130713435069988,finite,1.0649604999925941,5.187373764077835
alternating,0.62875,1.1119134815536689,finite,1.0601592999882996,5.455826457566442
alternating,0.6596875,1.110784789801315,finite,1.177376399980858,5.724279151055048
alternating,0.690625,1.1096906672025937,finite,1.2858407000312582,5.9927318445436555
alternating,0.7215625,1.1086358391095488,finite,1.117337999981828,6.261184538032263
alternating,0.7525,1.1076243772940813,finite,1.0685706000076607,6.52963723152087
alternating,0.7834375,1.1066597257749025,finite,1.0370692999567837,6.798089925009477
alternating,0.814375,1.1057447306576411,finite,1.0531728999922052,7.066542618498085
alternating,0.8453125,1.1048816724764063,finite,1.0560663000214845,7.334995311986691
alternating,0.87625,1.1040722998134926,finite,1.0437146000331268,7.603448005475299
alternating,0.9071875,1.1033178632458853,finite,1.158607800025493,7.8719006989639055
alternating,0.938125,1.102619148918413,finite,1.0848532000090927,8.140353392452514
alternating,0.9690625,1.1019765112733573,finite,1.1870399999897927,8.408806085941121
alternating,1.0,1.1013899046504045,finite,1.0759615000570193,8.677258779429728
