family,fraction,objective,status,runtime_seconds,projection_rmse_rad
quadratic,0.01,1.123794197847327,finite,1.219000400044024,0.6069877792025649
quadratic,0.0409375,1.1234589517787188,finite,1.2078935999888927,0.6070676867295481
quadratic,0.071875,1.1228257084113626,finite,1.2784923000726849,0.6072458974613573
quadratic,0.10281249999999999,1.1204614095932026,finite,1.2292366999899969,0.6085315312599175
quadratic,0.13375,1.1189726481981943,finite,1.8754564999835566,0.6106524458961999
quadratic,0.16468750000000001,1.117764905954716,finite,1.6934008999960497,0.6152740173642162
quadratic,0.195625,1.1173254583420884,finite,1.6443023999454454,0.6238420591361402
quadratic,0.2265625,1.1195180959297448,finite,1.069198599900119,0.6531977266720145
quadratic,0.2575,1.1207158640943264,finite,1.038800699985586,0.6699304625474376
quadratic,0.2884375,1.1196513792894358,finite,1.0690132000017911,0.6862911663230145
quadratic,0.319375,1.115471701203437,finite,1.0610246000578627,0.7062677192577645
quadratic,0.3503125,1.1041996826296723,finite,1.0554912999505177,0.793627653950162
quadratic,0.38125,1.100588808336343,finite,1.053779299953021,0.8756316060566534
quadratic,0.4121875,1.098824320966612,finite,1.057267399970442,0.9794174799466464
quadratic,0.443125,1.0988177916584236,finite,1.0432724999263883,1.090724936217445
quadratic,0.4740625,1.1009134238900824,finite,1.2824380999663845,1.1912846559865111
quadratic,0.505,1.109081511438628,finite,1.539615200017579,1.3078296132743685
quadratic,0.5359375,1.107806782089161,finite,1.627009299932979,1.335409122154105
quadratic,0.566875,1.1009174652231286,finite,1.580649400013499,1.382807724107613
quadratic,0.5978125,1.0933713915690253,finite,1.0459663999499753,1.485184770907777
quadratic,0.62875,1.0890220544935239,finite,1.0937302999664098,1.8641485203276131
quadratic,0.6596875,1.093726174146775,finite,1.0639883999247104,2.0723640992258834
quadratic,0.690625,1.1034566850492697,finite,1.036875499994494,2.230257971156901
quadratic,0.7215625,1.1137064843417597,finite,1.0736851000692695,2.303559380044311
quadratic,0.7525,1.1065969545690626,finite,1.0630174999823794,2.2549717052350813
quadratic,0.7834375,1.0975181049499803,finite,1.071895100059919,2.3225147221633806
quadratic,0.814375,1.092539481732717,finite,1.0552214999916032,2.5647647174625994
quadratic,0.8453125,1.0975310345851026,finite,1.0577476000180468,2.9041127754519382
quadratic,0.87625,1.1219545574255065,finite,1.0683807000750676,3.2803104119975224
quadratic,0.9071875,1.127303006713868,finite,1.0945541000692174,3.1729923781926437
quadratic,0.938125,1.1228859233081523,finite,1.0440893999766558,2.991764250299896
quadratic,0.9690625,1.1229000052415867,finite,1.0746740000322461,2.7980221690559723
quadratic,1.0,1.1239284065115205,finite,1.0686389000620693,0.6069527084900619
