family,fraction,objective,status,runtime_seconds,projection_rmse_rad
linear,0.01,1.1295406341756669,finite,1.0588206000393257,0.10030333716516322
linear,0.0409375,1.129347839082773,finite,1.199048800044693,0.10428002548889748
linear,0.071875,1.1288411493631068,finite,1.095833900035359,0.11299747678529082
linear,0.10281249999999999,1.125880142231468,finite,1.0481872000964358,0.13446812423700116
linear,0.13375,1.123555973922806,finite,1.0878138999687508,0.14523277521549752
linear,0.16468750000000001,1.1214086189754324,finite,1.1670020000310615,0.1611822554458346
linear,0.195625,1.1201425395629376,finite,1.6628819999750704,0.18719520693430283
linear,0.2265625,1.1217476973664415,finite,1.6302698999643326,0.2601021488537086
linear,0.2575,1.1241939722652692,finite,1.6078218000475317,0.29132580173167044
linear,0.2884375,1.126448246228519,finite,1.044327100040391,0.31102913820819816
linear,0.319375,1.1273729816041758,finite,1.0586303999880329,0.32083748743913154
linear,0.3503125,1.1246660456223436,finite,1.0515980999916792,0.3446275590576052
linear,0.38125,1.1227536945462924,finite,1.0450120000168681,0.3773033113970143
linear,0.4121875,1.1216850578873954,finite,1.0626606000587344,0.4255187787215731
linear,0.443125,1.1218029325324965,finite,1.0721843999344856,0.48016386878103473
linear,0.4740625,1.1229636502779219,finite,1.071865199948661,0.5290409641702599
linear,0.505,1.1256154054897471,finite,1.0473814000142738,0.5723246876227268
linear,0.5359375,1.1254222279557395,finite,1.0675180000253022,0.5661875928061131
linear,0.566875,1.124052477087006,finite,1.0401899999706075,0.5574773865292056
linear,0.5978125,1.1222912505429397,finite,1.0619663000106812,0.5645178902633774
linear,0.62875,1.1208967330900983,finite,1.0741408000467345,0.6558851175858419
linear,0.6596875,1.1218469682049177,finite,1.1550102999899536,0.7185579406541203
linear,0.690625,1.1234738102438429,finite,1.0469375000102445,0.7663756526343921
linear,0.7215625,1.1250063762761422,finite,1.0651495000347495,0.7836459696312412
linear,0.7525,1.1251673325716445,finite,1.0606760999653488,0.7275271927320921
linear,0.7834375,1.1242734959357212,finite,1.0678659999975935,0.7087485732326577
linear,0.814375,1.1240354143130105,finite,1.067504300037399,0.7411736568327816
linear,0.8453125,1.125054902363105,finite,1.0535009000450373,0.8117417171634675
linear,0.87625,1.1292850329222701,finite,1.0692218999611214,0.8895170518542385
linear,0.9071875,1.1303626020422888,finite,1.0674481999594718,0.8473703738678078
linear,0.938125,1.1298518021300539,finite,1.0691857000347227,0.7818838276958809
linear,0.9690625,1.1290015186122773,finite,1.1695209000026807,0.7142342068208356
linear,1.0,1.1296051849263489,finite,1.6477818000130355,0.09887525128301618
